110 	6.10	 	3.91 	3.91 	2.10 	 2.82 	5.44 	 7.29
115 	3.62	 	1.98 	1.98 	1.06 	 1.43 	2.75 	 3.69
120 	2.20	 	1.21 	1.21 	0.65 	 0.87 	1.68 	 2.25
125 	1.36	 	0.84 	0.84 	0.45 	 0.60 	1.17 	 1.57
130 	0.89	 	0.58 	0.58 	0.31 	 0.42 	0.81 	 1.09
135 	0.73	 	0.45 	0.45 	0.24 	 0.32 	0.62 	 0.84
140 	0.58	 	0.35 	0.35 	0.19 	 0.25 	0.49 	 0.65
150 	0.46	 	0.25 	0.25 	0.13 	 0.18 	0.34 	 0.46
160 	0.26	 	0.16 	0.16 	0.09 	 0.11 	0.22 	 0.30
170 	0.27	 	0.17 	0.17 	0.09 	 0.12 	0.23 	 0.31
180 	0.29	 	0.22 	0.22 	0.12 	 0.16 	0.30 	 0.40
190 	0.40	 	0.31 	0.31 	0.17 	 0.22 	0.43 	 0.57
200 	0.49	 	0.40 	0.40 	0.22 	 0.29 	0.56 	 0.75
250 	0.64	 	0.75 	0.75 	0.40 	 0.54 	1.05 	 1.41
300 	0.85	 	0.81 	0.81 	0.44 	 0.59 	1.13 	 1.52
350 	0.69	 	0.72 	0.72 	0.39 	 0.52 	1.00 	 1.34
400 	0.80	 	0.77 	0.77 	0.42 	 0.56 	1.08 	 1.44
450 	0.74	 	1.00 	1.00 	0.54 	 0.72 	1.40 	 1.87
500 	0.86	 	1.38 	1.38 	0.74 	 0.99 	1.92 	 2.57
550 	1.18	 	1.89 	1.89 	1.02 	 1.37 	2.64 	 3.53
600 	1.51	 	2.66 	2.66 	1.43 	 1.92 	3.71 	 4.97
